data,descricao,documento,tipo,valor,saldo
2026-06-01,SALDO INICIAL,,SALDO,24350.18,24350.18
2026-06-03,TED RECEBIDA CLIENTE PJ,0000123456,CREDITO,8500.00,32850.18
2026-06-05,PAGTO BOLETO ENERGIA,0000123457,DEBITO,485.30,32364.88
2026-06-08,TED ENVIADA FORNECEDOR,0000123458,DEBITO,2350.00,30014.88
2026-06-10,TED RECEBIDA CLIENTE PJ,0000123459,CREDITO,12300.00,42314.88
2026-06-12,DARF IRPJ MAI/2026,0000123460,DEBITO,1845.22,40469.66
2026-06-15,TARIFA MANUT CONTA PJ,0000123461,DEBITO,79.90,40389.76
2026-06-18,TED ENVIADA FOLHA SALARIO,0000123462,DEBITO,14250.00,26139.76
2026-06-22,PAGTO BOLETO ALUGUEL,0000123463,DEBITO,4200.00,21939.76
2026-06-25,TED RECEBIDA CLIENTE PJ,0000123464,CREDITO,6750.00,28689.76
2026-06-28,PAGTO PIX FORNECEDOR,0000123465,DEBITO,1180.45,27509.31
2026-06-30,JUROS APLIC AUTOMATICA,0000123466,CREDITO,156.28,27665.59
2026-06-30,ESTORNO TARIFA MENSAL,0000123467,CREDITO,79.90,27745.49
2026-06-30,SALDO FINAL,,SALDO,27745.49,27745.49
